aes,wmo,id,name,instr,prov,lon,lat,elev,tz_correct,h_bul,s_bul,hly,syn,tmm,ua,useindex,agency,the_geom
3031402,71488,CPCY,                                            CARWAY,   AU8,AB,-113.383,49,1354,-7,swobml/cpcy,smcn34/cwao,H,H,-,-,488,MSC   ,01010000208A0F00006C4D6A31853D34C168822A3627900741
3031480,71217,CXCP,                                     CHAMPION+AGDM,   AU7,AB,-113.35,50.283,1006,-7,swobml/cxcp,smcn22/cwao,H,H,@,-,217,MSC   ,01010000208A0F00008CCF91E1459633C11E55D021AC111441
3031640,71234,CWDK,                                        CLARESHOLM,   AU8,AB,-113.633,50,1009,-7,swobml/cwdk,smcn22/cwao,H,H,-,-,234,MSC   ,01010000208A0F0000D309BF1BC10434C152E6F199B0961241
3031875,71235,CWDU,                                         COP+UPPER,   AU8,AB,-114.217,51.083,1235,-7,swobml/cwdu,xxxxxx/xxxx,H,H,-,-,-235,MSC   ,01010000208A0F0000B8F3E6454E1534C19606E9EEAE501A41
3032422,71518,CPEH,                                      ENCHANT+AGDM,   AU7,AB,-112.433,50.183,801,-7,swobml/cpeh,smcn25/cwao,H,H,@,-,518,MSC   ,01010000208A0F0000E9479253E1AD32C1F290CCD0FF501241
3032450,71409,CPET,                                      ETZIKOM+AGCM,   AU7,AB,-111.05,49.55,845,-7,swobml/cpet,smcn24/cwao,H,H,@,-,409,MSC   ,01010000208A0F00007481FA81687F31C1E697C978DE360941
3032550,71535,CPFI,                                    FINCASTLE+AGDM,   AU7,AB,-112.033,49.8,833,-7,swobml/cpfi,smcn25/cwao,H,H,@,-,535,MSC   ,01010000208A0F0000968A03F4B16E32C14CE1EEA912B50E41
3032642,71225,CXFM,                                     FOREMOST+AGDM,   AU7,AB,-111.483,49.483,881,-7,swobml/cxfm,smcn22/cwao,H,H,@,-,225,MSC   ,01010000208A0F0000B29616B504FD31C110F3C7A2634D0941
3032683,71789,CPFM,                                 FORT+MACLEOD+AGCM,   AU7,AB,-113.383,49.783,978,-7,swobml/cpfm,smcn37/cwao,H,H,@,-,789,MSC   ,01010000208A0F0000969559FDB6DC33C1FA1C5C075FDE1041
3032801,71498,CPGI,                                     GLEICHEN+AGCM,   AU7,AB,-112.933,50.933,907,-7,swobml/cpgi,smcn34/cwao,H,H,-,-,498,MSC   ,01010000208A0F0000F99DF69847D932C1D5451FF664C61741
3032818,71885,CPCR,                                          GLENWOOD,   AU8,AB,-113.517,49.333,1074,-7,swobml/cpcr,smcn38/cwao,H,H,@,-,885,MSC   ,01010000208A0F00001510E3C1B93834C1FFBBEFA2B13B0C41
3032927,71788,CPGL,                                       GRASSY+LAKE,   AU8,AB,-111.733,49.867,783,-7,swobml/cpgl,smcn37/cwao,H,H,@,-,788,MSC   ,01010000208A0F00001F9CCEB3FB1532C1B41EF476B7E40E41
3033498,71528,CPIR,                                 IRON+SPRINGS+AGDM,   AU7,AB,-112.733,49.9,858,-7,swobml/cpir,smcn25/cwao,H,H,@,-,528,MSC   ,01010000208A0F0000759E4294C01F33C106735CC6F6D41041
3033505,713492,CPRD,                               PRIDDIS+OBSERVATORY,   AU8,AB,-114.3,50.867,1267,-7,swobml/cprd,xxxxxx/xxxx,H,-,-,-,3492,MSC   ,01010000208A0F000010B1B41FAC4634C1352FD115D7071941
3033550,71795,CPIA,                                       IRVINE+AGCM,   AU7,AB,-110.267,49.983,795,-7,swobml/cpia,smcn37/cwao,H,H,-,-,795,MSC   ,01010000208A0F0000200152759C7C30C188855C7FE6390D41
3033875,71267,CYQL,                                        LETHBRIDGE,   NCA,AB,-112.8,49.633,929,-7,sacn62/cyql,smcn32/cwao,G,H,-,-,267,MSC   ,01010000208A0F00007EBC0BB0B65133C1768E7EF7EA590E41
3033890,71243,CWQL,                                    LETHBRIDGE+CDA,   AU8,AB,-112.767,49.7,910,-7,swobml/cwql,smcn22/cwao,H,H,-,-,243,MSC   ,01010000208A0F0000668D3479C74033C1F283C472B0240F41
3033897,71509,CPQL,                         LETHBRIDGE+DEMO+FARM+AGDM,   AU7,AB,-112.75,49.683,903,-7,swobml/cpql,smcn25/cwao,H,H,@,-,509,MSC   ,01010000208A0F0000A1849C27373E33C1E2ED44CD80E10E41
3034479,71247,CYXH,                                      MEDICINE+HAT,   NCA,AB,-110.717,50.017,717,-7,sacn62/cyxh,smcn22/cwao,G,H,-,-,247,MSC   ,01010000208A0F0000E2A95C17E9F230C1719B9D38649E0E41
3034485,71026,CXMW,                                  MEDICINE+HAT+RCS,   AU8,AB,-110.717,50.033,715,-7,swobml/cxmw,smcn20/cwao,H,H,@,-,26,MSC   ,01010000208A0F0000992FC17837F130C19BB4D1111CD40E41
3034577,71057,CPML,                                    MOSSLEIGH+AGCM,   AU7,AB,-113.35,50.667,965,-7,swobml/cpml,smcn30/cwao,H,H,-,-,57,MSC   ,01010000208A0F00001F824A370F6733C17C9E23B0078E1641
